,y_true,y_pred,lower80,upper80,lower95,upper95
2025-08-10 00:00:00+00:00,119306.7578125,116460.52993017342,114406.91462846058,118514.14523188626,113319.79635559653,119601.26350475031
2025-08-11 00:00:00+00:00,118731.4453125,116427.94067454331,113599.31164446445,119256.56970462216,112101.92588619333,120753.95546289328
2025-08-12 00:00:00+00:00,120172.90625,116439.78926398917,112976.53024172528,119903.04828625305,111143.19165897115,121736.38686900718
2025-08-13 00:00:00+00:00,123344.0625,116370.71499178467,112377.90414481208,120363.52583875725,110264.23775938276,122477.19222418658
2025-08-14 00:00:00+00:00,118359.578125,116406.37770410992,111955.98028390325,120856.7751243166,109600.08219871734,123212.6732095025
2025-08-15 00:00:00+00:00,117398.3515625,116323.84301775227,111440.94273761286,121206.74329789168,108856.09146839744,123791.5945671071
2025-08-16 00:00:00+00:00,117491.3515625,116364.79242757845,111107.03051980078,121622.55433535611,108323.73949175555,124405.84536340134
2025-08-17 00:00:00+00:00,117453.0625,116283.25942245882,110651.78070001969,121914.73814489796,107670.65594052721,124895.86290439044
2025-08-18 00:00:00+00:00,116252.3125,116318.61759853813,110360.68128914459,122276.55390793167,107206.7403221583,125430.49487491796
2025-08-19 00:00:00+00:00,112831.1796875,116245.87858098553,109955.91504720184,122535.84211476923,106626.20948476197,125865.54767720909
2025-08-20 00:00:00+00:00,114274.7421875,116270.4471939221,109685.96985046126,122854.92453738293,106200.35809476125,126340.53629308294
2025-08-21 00:00:00+00:00,112419.03125,116209.57350345698,109324.83955460342,123094.30745231055,105680.28155322713,126738.86545368683
2025-08-22 00:00:00+00:00,116874.0859375,116221.97797747969,109065.69649726857,123378.25945769082,105277.38991598849,127166.5660389709
2025-08-23 00:00:00+00:00,115374.328125,116173.03331430313,108741.59958319363,123604.46704541263,104807.63619875192,127538.43042985434
2025-08-24 00:00:00+00:00,113458.4296875,116174.1830466471,108488.87507673433,123859.49101655987,104420.51878833328,127927.84730496092
2025-08-25 00:00:00+00:00,110124.3515625,116135.57362379866,108195.36625133589,124075.78099626143,103992.07437006939,128279.07287752793
2025-08-26 00:00:00+00:00,111802.65625,116127.50583910871,107947.77814055653,124307.23353766088,103617.6918577305,128637.31982048691
2025-08-27 00:00:00+00:00,111222.0625,116096.94698253884,107678.8981670268,124514.99579805088,103222.65230560767,128971.24165947
2025-08-28 00:00:00+00:00,112544.8046875,116082.03884986269,107436.61033857684,124727.46736114853,102859.99693706984,129304.08076265553
2025-08-29 00:00:00+00:00,108410.8359375,116057.17927737912,107187.17311311429,124927.18544164396,102491.67548337489,129622.68307138336
2025-08-30 00:00:00+00:00,108808.0703125,116037.66955000763,106950.84840534317,125124.49069467209,102140.57585801014,129934.76324200512
2025-08-31 00:00:00+00:00,108236.7109375,116016.44270028679,106716.58300387968,125316.30239669389,101793.53465952627,130239.35074104731
2025-09-01 00:00:00+00:00,109250.59375,115994.18838990867,106486.87961740111,125501.49716241623,101454.01436569924,130534.36241411809
2025-09-02 00:00:00+00:00,111200.5859375,115974.96612160413,106264.43719663381,125685.49504657445,101123.9936945302,130825.93854867805
2025-09-03 00:00:00+00:00,111723.2109375,115951.36126151301,106041.78242483482,125860.9400981912,100795.96826443454,131106.75425859148
2025-09-04 00:00:00+00:00,110723.6015625,115932.97821330265,105828.64975134541,126037.30667525988,100479.74136677488,131386.21505983043
2025-09-05 00:00:00+00:00,110650.984375,115908.97257730567,105613.17868050655,126204.76647410479,100162.91461716556,131655.0305374458
2025-09-06 00:00:00+00:00,110224.6953125,115890.67629632684,105407.54176316014,126373.81082949354,99858.10555746352,131923.24703519017
2025-09-07 00:00:00+00:00,111167.6171875,115866.84635583308,105199.12463647981,126534.56807518635,99551.9738769071,132181.71883475909
2025-09-08 00:00:00+00:00,112215.859375,115848.21354597408,104999.71698543998,126696.71010650818,99256.86980553097,132439.5572864172
