number,value,datetime_start,datetime_complete,duration,params_D,params_EXOG_ON,params_P,params_Q,params_d,params_enforce_invertibility,params_enforce_stationarity,params_m,params_p,params_q,params_trend,state
0,1.9999880646635892,2025-09-08 16:57:21.715680,2025-09-08 16:57:22.609680,0 days 00:00:00.894000,0,0,0,0,1,True,True,7,2,1,n,COMPLETE
1,0.22126042981580749,2025-09-08 16:57:21.717680,2025-09-08 16:57:38.819681,0 days 00:00:17.102001,0,1,0,0,0,True,True,7,3,5,c,COMPLETE
2,1.9975154195653582,2025-09-08 16:57:21.719680,2025-09-08 16:57:27.690680,0 days 00:00:05.971000,0,0,0,0,1,True,True,7,2,5,c,COMPLETE
3,1.9988672481381766,2025-09-08 16:57:21.720680,2025-09-08 16:57:29.655680,0 days 00:00:07.935000,0,0,0,0,2,True,True,7,2,5,c,COMPLETE
4,1.992438647955484,2025-09-08 16:57:21.723680,2025-09-08 16:57:29.657680,0 days 00:00:07.934000,0,0,0,0,2,True,True,7,4,3,c,COMPLETE
5,1.9999658032903878,2025-09-08 16:57:21.724680,2025-09-08 16:57:22.751680,0 days 00:00:01.027000,0,0,0,0,1,True,True,7,0,3,n,COMPLETE
6,1.9999131295750034,2025-09-08 16:57:21.727680,2025-09-08 16:57:23.179680,0 days 00:00:01.452000,0,0,0,0,2,True,True,7,1,1,n,COMPLETE
7,0.04105584024234711,2025-09-08 16:57:21.742680,2025-09-08 16:57:22.980680,0 days 00:00:01.238000,0,0,0,0,0,True,True,7,2,1,n,COMPLETE
8,0.041197956464242035,2025-09-08 16:57:21.753680,2025-09-08 16:57:29.319680,0 days 00:00:07.566000,0,0,0,0,0,True,True,7,5,3,c,COMPLETE
9,0.0405477417270787,2025-09-08 16:57:21.804679,2025-09-08 16:57:24.647682,0 days 00:00:02.843003,0,0,0,0,0,True,True,7,4,2,n,COMPLETE
10,1.9925589050121097,2025-09-08 16:57:21.840680,2025-09-08 16:57:38.799680,0 days 00:00:16.959000,0,1,0,0,1,True,True,7,5,3,c,COMPLETE
11,1.990495355760585,2025-09-08 16:57:21.881679,2025-09-08 16:57:30.995680,0 days 00:00:09.114001,0,0,0,0,2,True,True,7,3,4,c,COMPLETE
12,1.9946338295613575,2025-09-08 16:57:21.884679,2025-09-08 16:57:37.998681,0 days 00:00:16.114002,0,1,0,0,2,True,True,7,5,1,c,COMPLETE
